UN_A3
248
4
8
12
16
20
24
660
-99
28
32
51
533
-99
36
40
31
44
48
50
52
112
56
84
204
60
64
68
70
72
76
-99
92
96
100
854
108
384
116
120
124
136
140
148
152
156
170
174
184
188
191
192
531
196
203
408
180
208
262
212
214
218
818
222
226
232
233
748
231
234
238
583
242
246
250
258
-99
266
268
276
288
300
304
308
316
320
831
324
624
328
332
-99
340
344
348
352
356
-99
360
364
368
372
833
376
380
388
392
832
400
398
404
296
-99
414
417
418
428
422
426
430
434
438
440
442
446
807
450
454
458
462
466
470
584
478
480
484
498
492
496
499
500
504
508
104
516
520
524
528
540
554
558
562
566
570
574
-99
580
-99
512
586
585
275
591
598
600
604
608
612
616
620
630
634
132
410
178
642
643
646
678
654
659
662
666
670
652
663
882
674
682
686
688
690
-99
694
702
534
703
705
90
706
-99
710
-99
728
724
144
729
740
752
756
760
-99
762
834
764
270
626
768
776
780
788
792
795
796
800
804
784
826
840
850
858
860
548
336
862
704
876
732
887
894
716
