"CountryYear","Country","FullYear","StartYear","Name","API_ID","Alpha2","Alpha3","ISONum","WorldBankID","EverMarried","Survey","BR","Couples","PR","Strata","mean","se","l_ci","u_ci"
"Senegal 2018","Senegal","2018",2018,"Senegal","SN2018DHS","SN","SEN",686,"SN",NA,"SNIR80FL","SNBR80FL","SNCR80FL","SNPR81FL","v022",0.326,0.0102404790101625,0.305313745583536,0.345718581900769
"Senegal 2017","Senegal","2017",2017,"Senegal","SN2017DHS","SN","SEN",686,"SN",NA,"SNIR7ZFL","SNBR7ZFL","SNCR7ZFL","SNPR7ZFL","v022",0.304,0.00669784769292876,0.291150582893376,0.317491362614152
"Senegal 2016 ","Senegal","2016",2016,"Senegal","SN2016DHS","SN","SEN",686,"SN",NA,"SNIR7QFL","SNBR7QFL","","SNPR7IFL","v022",0.297,0.0111468798966333,0.274571438549712,0.318552570411256
"Senegal 2015","Senegal","2015",2015,"Senegal","SN2015DHS","SN","SEN",686,"SN",NA,"SNIR7HFL","SNBR7HFL","SNCR7HFL","SNPR7HFL","v022",0.285,0.00954720752812889,0.266482492833133,0.304151957032795
"Senegal 2014 ","Senegal","2014",2014,"Senegal","SN2014DHS","SN","SEN",686,"SN",NA,"SNIR70FL","SNBR70FL","SNCR70FL","SNPR70FL","v022",0.263,0.00937712542329179,0.24469679873883,0.281714917459603
"Senegal 2012-13","Senegal","2012-13",2012,"Senegal","SN2012DHS","SN","SEN",686,"SN",NA,"SNIR6DFL","SNBR6DFL","","SNPR6DFL","v022",0.293,0.0102814610101838,0.272370087964485,0.312958256205534
"Senegal 2010-11","Senegal","2010-11",2010,"Senegal","SN2010DHS","SN","SEN",686,"SN",NA,"SNIR61FL","SNBR61FL","SNCR61FL","SNPR61FL","v022",0.28,0.00651913042638318,0.267002815477285,0.292642824561365
"Senegal 2005","Senegal","2005",2005,"Senegal","SN2005DHS","SN","SEN",686,"SN",NA,"SNIR4HFL","","SNCR4AFL","SNPR4AFL","v024 v025",0.232,0.0068561520761122,0.218393026629923,0.245358061526106
"Senegal 1997","Senegal","1997",1997,"Senegal","SN1997DHS","SN","SEN",686,"SN",NA,"SNIR32FL","","SNCR31FL","SNPR32FL","v023",0.252,0.0086098455459413,0.234757240759725,0.26863949583148
"Senegal 1992-93","Senegal","1992-93",1992,"Senegal","SN1993DHS","SN","SEN",686,"SN",NA,"SNIR21FL","","SNCR21FL","SNPR21FL","v024 v025",0.209,0.0084587397210353,0.192780003984216,0.226096400510166
"Seirra Leone 2019","Sierra Leone","2019",2019,"Sierra Leone","SL2019DHS","SL","SLE",694,"SL",NA,"SLIR7AFL","SLBR7AFL","","SLPR7AFL","v022",0.117,0.00454717878719079,0.107969092430185,0.125833378142013
"Sierra Leone 2013","Sierra Leone","2013",2013,"Sierra Leone","SL2013DHS","SL","SLE",694,"SL",NA,"SLIR61FL","SLBR61FL","SLCR61FL","SLPR61FL","v022",0.129,0.00518628613237696,0.119055960316923,0.139446314830356
"Sierra Leone 2008","Sierra Leone","2008",2008,"Sierra Leone","SL2008DHS","SL","SLE",694,"SL",NA,"SLIR51FL","SLBR51FL","SLCR51FL","SLPR51FL","v022",0.137,0.00764709484159371,0.121936239472487,0.152025748478747
"South Africa 2016","South Africa","2016",2016,"South Africa","ZA2016DHS","ZA","ZAF",710,"ZA",NA,"ZAIR71FL","ZABR71FL","ZACR71FL","ZAPR71FL","v022",0.049,0.00502530862045433,0.0386529709265362,0.0583878453410089
"South Africa 1998","South Africa","1998",1998,"South Africa","ZA1998DHS","ZA","ZAF",710,"ZA",NA,"ZAIR31FL","ZABR31FL","","ZAPR31FL","v024 v025",0.076,0.00548357704304189,0.0647413848093491,0.0862645928679592
"Swaziland 2006-07","Swaziland","2006-07",2006,"Swaziland","SZ2006DHS","SZ","SWZ",748,"SZ",NA,"szir51fl","SZBR51FL","szcr51fl","SZPR52FL","v024 v025",0.148,0.0101202200553562,0.128390733259686,0.168240556515202
