"CountryYear","Country","FullYear","StartYear","Name","API_ID","Alpha2","Alpha3","ISONum","WorldBankID","EverMarried","Survey","BR","Couples","PR","Strata","v013","Live_MIL","ci_l","ci_u"
"Angola 2015-16","Angola","2015-16",2015,"Angola","AO2015DHS","AO","AGO",24,"AO",NA,"AOIR71FL","AOBR71FL","AOCR71FL","AOPR71FL","v022",4,0.0136540742161382,0.00646887284751611,0.028590465939638
"Angola 2015-16","Angola","2015-16",2015,"Angola","AO2015DHS","AO","AGO",24,"AO",NA,"AOIR71FL","AOBR71FL","AOCR71FL","AOPR71FL","v022",5,0.00743304754701896,0.00332304183789753,0.0165420228162613
"Angola 2015-16","Angola","2015-16",2015,"Angola","AO2015DHS","AO","AGO",24,"AO",NA,"AOIR71FL","AOBR71FL","AOCR71FL","AOPR71FL","v022",6,0.0179961252402665,0.00831338633218799,0.0385184714107862
"Angola 2015-16","Angola","2015-16",2015,"Angola","AO2015DHS","AO","AGO",24,"AO",NA,"AOIR71FL","AOBR71FL","AOCR71FL","AOPR71FL","v022",7,0.00523365706092142,0.0010609211212597,0.0254009665047745
"Armenia 2015-16","Armenia","2015-16",2015,"Armenia","AM2016DHS","AM","ARM",51,"AM",NA,"AMIR71FL","AMBR71FL","AMCR72FL","AMPR72FL","v022",1,0.836430187460307,0.67319984660418,0.926974200776074
"Armenia 2015-16","Armenia","2015-16",2015,"Armenia","AM2016DHS","AM","ARM",51,"AM",NA,"AMIR71FL","AMBR71FL","AMCR72FL","AMPR72FL","v022",2,0.654946150940501,0.594401855022372,0.710849275210191
"Armenia 2015-16","Armenia","2015-16",2015,"Armenia","AM2016DHS","AM","ARM",51,"AM",NA,"AMIR71FL","AMBR71FL","AMCR72FL","AMPR72FL","v022",3,0.6617627442831,0.619222288225281,0.701839010620074
"Armenia 2015-16","Armenia","2015-16",2015,"Armenia","AM2016DHS","AM","ARM",51,"AM",NA,"AMIR71FL","AMBR71FL","AMCR72FL","AMPR72FL","v022",4,0.561467890619432,0.520033934813854,0.602062053955362
"Armenia 2015-16","Armenia","2015-16",2015,"Armenia","AM2016DHS","AM","ARM",51,"AM",NA,"AMIR71FL","AMBR71FL","AMCR72FL","AMPR72FL","v022",5,0.414205406561898,0.377633871556252,0.451747887282489
"Armenia 2015-16","Armenia","2015-16",2015,"Armenia","AM2016DHS","AM","ARM",51,"AM",NA,"AMIR71FL","AMBR71FL","AMCR72FL","AMPR72FL","v022",6,0.334778257614281,0.290047213132388,0.382689232071223
"Armenia 2015-16","Armenia","2015-16",2015,"Armenia","AM2016DHS","AM","ARM",51,"AM",NA,"AMIR71FL","AMBR71FL","AMCR72FL","AMPR72FL","v022",7,0.225581347935231,0.188261919438683,0.267857504743626
"Armenia 2010","Armenia","2010",2010,"Armenia","AM2010DHS","AM","ARM",51,"AM",NA,"AMIR61FL","","AMCR61FL","AMPR61FL","v022",1,0.755236867722455,0.603230949045133,0.86230111763971
"Armenia 2010","Armenia","2010",2010,"Armenia","AM2010DHS","AM","ARM",51,"AM",NA,"AMIR61FL","","AMCR61FL","AMPR61FL","v022",2,0.760176333241838,0.706602664346196,0.806644449548194
"Armenia 2010","Armenia","2010",2010,"Armenia","AM2010DHS","AM","ARM",51,"AM",NA,"AMIR61FL","","AMCR61FL","AMPR61FL","v022",3,0.662102859145508,0.612815227365064,0.708104813497686
"Armenia 2010","Armenia","2010",2010,"Armenia","AM2010DHS","AM","ARM",51,"AM",NA,"AMIR61FL","","AMCR61FL","AMPR61FL","v022",4,0.48521767725237,0.434541546966439,0.536199603765411
"Armenia 2010","Armenia","2010",2010,"Armenia","AM2010DHS","AM","ARM",51,"AM",NA,"AMIR61FL","","AMCR61FL","AMPR61FL","v022",5,0.421097004786005,0.36585759401323,0.47838497225412
"Armenia 2010","Armenia","2010",2010,"Armenia","AM2010DHS","AM","ARM",51,"AM",NA,"AMIR61FL","","AMCR61FL","AMPR61FL","v022",6,0.274021617145107,0.238230375531568,0.312980783040048
"Armenia 2010","Armenia","2010",2010,"Armenia","AM2010DHS","AM","ARM",51,"AM",NA,"AMIR61FL","","AMCR61FL","AMPR61FL","v022",7,0.148552526633843,0.116636527069208,0.187349671608969
"Armenia 2005","Armenia","2005",2005,"Armenia","AM2005DHS","AM","ARM",51,"AM",NA,"AMIR54FL","","AMCR52FL","AMPR54FL","v023",1,0.75595090127565,0.614750385760856,0.857403437667906
"Armenia 2005","Armenia","2005",2005,"Armenia","AM2005DHS","AM","ARM",51,"AM",NA,"AMIR54FL","","AMCR52FL","AMPR54FL","v023",2,0.689703604059651,0.636151627925144,0.738612270276296
"Armenia 2005","Armenia","2005",2005,"Armenia","AM2005DHS","AM","ARM",51,"AM",NA,"AMIR54FL","","AMCR52FL","AMPR54FL","v023",3,0.583231676554884,0.526123734140903,0.638190231797358
"Armenia 2005","Armenia","2005",2005,"Armenia","AM2005DHS","AM","ARM",51,"AM",NA,"AMIR54FL","","AMCR52FL","AMPR54FL","v023",4,0.445740544305089,0.39625259398722,0.496328142669328
"Armenia 2005","Armenia","2005",2005,"Armenia","AM2005DHS","AM","ARM",51,"AM",NA,"AMIR54FL","","AMCR52FL","AMPR54FL","v023",5,0.397407779952992,0.342965635087563,0.454513721422953
"Armenia 2005","Armenia","2005",2005,"Armenia","AM2005DHS","AM","ARM",51,"AM",NA,"AMIR54FL","","AMCR52FL","AMPR54FL","v023",6,0.225737017422641,0.190188370544035,0.265749688381497
"Armenia 2005","Armenia","2005",2005,"Armenia","AM2005DHS","AM","ARM",51,"AM",NA,"AMIR54FL","","AMCR52FL","AMPR54FL","v023",7,0.147145697068238,0.117462468214244,0.182776498217685
"Armenia 2000","Armenia","2000",2000,"Armenia","AM2000DHS","AM","ARM",51,"AM",NA,"AMIR42FL","","AMCR42FL","AMPR42FL","v023",1,0.679916374734615,0.564883244818509,0.776566834648376
"Armenia 2000","Armenia","2000",2000,"Armenia","AM2000DHS","AM","ARM",51,"AM",NA,"AMIR42FL","","AMCR42FL","AMPR42FL","v023",2,0.720218149054768,0.672996291240856,0.763022008952663
"Armenia 2000","Armenia","2000",2000,"Armenia","AM2000DHS","AM","ARM",51,"AM",NA,"AMIR42FL","","AMCR42FL","AMPR42FL","v023",3,0.630527735356036,0.584771446977394,0.674052341287695
"Armenia 2000","Armenia","2000",2000,"Armenia","AM2000DHS","AM","ARM",51,"AM",NA,"AMIR42FL","","AMCR42FL","AMPR42FL","v023",4,0.491356742779753,0.448608904313308,0.534231349799315
"Armenia 2000","Armenia","2000",2000,"Armenia","AM2000DHS","AM","ARM",51,"AM",NA,"AMIR42FL","","AMCR42FL","AMPR42FL","v023",5,0.361419793619755,0.321754737703898,0.403068731429026
"Armenia 2000","Armenia","2000",2000,"Armenia","AM2000DHS","AM","ARM",51,"AM",NA,"AMIR42FL","","AMCR42FL","AMPR42FL","v023",6,0.217893467011688,0.186924783571973,0.252400160893412
"Armenia 2000","Armenia","2000",2000,"Armenia","AM2000DHS","AM","ARM",51,"AM",NA,"AMIR42FL","","AMCR42FL","AMPR42FL","v023",7,0.128470531866072,0.102318247952657,0.160114999852081
"Azerbaijan 2006","Azerbaijan","2006",2006,"Azerbaijan","AZ2006DHS","AZ","AZE",31,"AZ",NA,"AZIR52FL","AZBR52FL","AZCR52FL","AZPR52FL","v023",1,0.778668784971709,0.667155541042535,0.860626477876668
"Azerbaijan 2006","Azerbaijan","2006",2006,"Azerbaijan","AZ2006DHS","AZ","AZE",31,"AZ",NA,"AZIR52FL","AZBR52FL","AZCR52FL","AZPR52FL","v023",2,0.662917341170439,0.611540362010003,0.710713649196188
"Azerbaijan 2006","Azerbaijan","2006",2006,"Azerbaijan","AZ2006DHS","AZ","AZE",31,"AZ",NA,"AZIR52FL","AZBR52FL","AZCR52FL","AZPR52FL","v023",3,0.459285264037895,0.413954345135487,0.505300131756219
"Azerbaijan 2006","Azerbaijan","2006",2006,"Azerbaijan","AZ2006DHS","AZ","AZE",31,"AZ",NA,"AZIR52FL","AZBR52FL","AZCR52FL","AZPR52FL","v023",4,0.325965057334734,0.284674282917772,0.370145842439799
"Azerbaijan 2006","Azerbaijan","2006",2006,"Azerbaijan","AZ2006DHS","AZ","AZE",31,"AZ",NA,"AZIR52FL","AZBR52FL","AZCR52FL","AZPR52FL","v023",5,0.219319655348708,0.18692121291525,0.255568533715628
"Azerbaijan 2006","Azerbaijan","2006",2006,"Azerbaijan","AZ2006DHS","AZ","AZE",31,"AZ",NA,"AZIR52FL","AZBR52FL","AZCR52FL","AZPR52FL","v023",6,0.123990899694073,0.101893744644684,0.150079357722328
"Azerbaijan 2006","Azerbaijan","2006",2006,"Azerbaijan","AZ2006DHS","AZ","AZE",31,"AZ",NA,"AZIR52FL","AZBR52FL","AZCR52FL","AZPR52FL","v023",7,0.0801992165776854,0.0586461574398883,0.108758105196196
"Bangladesh 2017-18","Bangladesh","2017-18",2017,"Bangladesh","BD2017DHS","BD","BGD",50,"BD",1,"BDIR7RFL","BDBR7RFL","","BDPR7RFL","v022",1,0.491266534438702,0.464947772059432,0.517633796581348
"Bangladesh 2017-18","Bangladesh","2017-18",2017,"Bangladesh","BD2017DHS","BD","BGD",50,"BD",1,"BDIR7RFL","BDBR7RFL","","BDPR7RFL","v022",2,0.345202054480977,0.325155235787903,0.365814847610164
"Bangladesh 2017-18","Bangladesh","2017-18",2017,"Bangladesh","BD2017DHS","BD","BGD",50,"BD",1,"BDIR7RFL","BDBR7RFL","","BDPR7RFL","v022",3,0.259911785736849,0.241680863293938,0.279011942679527
"Bangladesh 2017-18","Bangladesh","2017-18",2017,"Bangladesh","BD2017DHS","BD","BGD",50,"BD",1,"BDIR7RFL","BDBR7RFL","","BDPR7RFL","v022",4,0.195743061676123,0.181192112036697,0.211161197812548
"Bangladesh 2017-18","Bangladesh","2017-18",2017,"Bangladesh","BD2017DHS","BD","BGD",50,"BD",1,"BDIR7RFL","BDBR7RFL","","BDPR7RFL","v022",5,0.131563408545345,0.118119502763333,0.146283633933328
"Bangladesh 2017-18","Bangladesh","2017-18",2017,"Bangladesh","BD2017DHS","BD","BGD",50,"BD",1,"BDIR7RFL","BDBR7RFL","","BDPR7RFL","v022",6,0.103469340380165,0.0898697359930899,0.118858155051639
"Bangladesh 2017-18","Bangladesh","2017-18",2017,"Bangladesh","BD2017DHS","BD","BGD",50,"BD",1,"BDIR7RFL","BDBR7RFL","","BDPR7RFL","v022",7,0.0592794367005761,0.0492561701094223,0.0711896385931583
"Bangladesh 2014","Bangladesh","2014",2014,"Bangladesh","BD2014DHS","BD","BGD",50,"BD",1,"BDIR72FL","BDBR72FL","","BDPR72FL","v022",1,0.435088560558441,0.408557072741248,0.461997138847219
"Bangladesh 2014","Bangladesh","2014",2014,"Bangladesh","BD2014DHS","BD","BGD",50,"BD",1,"BDIR72FL","BDBR72FL","","BDPR72FL","v022",2,0.35699370812613,0.330975387916459,0.383883754668237
"Bangladesh 2014","Bangladesh","2014",2014,"Bangladesh","BD2014DHS","BD","BGD",50,"BD",1,"BDIR72FL","BDBR72FL","","BDPR72FL","v022",3,0.271430354254167,0.252759004519265,0.290943936053044
"Bangladesh 2014","Bangladesh","2014",2014,"Bangladesh","BD2014DHS","BD","BGD",50,"BD",1,"BDIR72FL","BDBR72FL","","BDPR72FL","v022",4,0.173728009422512,0.155328821672054,0.193806574296379
"Bangladesh 2014","Bangladesh","2014",2014,"Bangladesh","BD2014DHS","BD","BGD",50,"BD",1,"BDIR72FL","BDBR72FL","","BDPR72FL","v022",5,0.116314076504295,0.101469550670442,0.13300881475987
"Bangladesh 2014","Bangladesh","2014",2014,"Bangladesh","BD2014DHS","BD","BGD",50,"BD",1,"BDIR72FL","BDBR72FL","","BDPR72FL","v022",6,0.0922160353117879,0.0752121054465379,0.112596158400753
"Bangladesh 2014","Bangladesh","2014",2014,"Bangladesh","BD2014DHS","BD","BGD",50,"BD",1,"BDIR72FL","BDBR72FL","","BDPR72FL","v022",7,0.0596248803127214,0.0472314187464838,0.0750143278317248
"Bangladesh 2011","Bangladesh","2011",2011,"Bangladesh","BD2011DHS","BD","BGD",50,"BD",1,"BDIR61FL","","BDCR61FL","BDPR61FL","v022",1,0.472048770251335,0.446979967256504,0.497259337407397
